----------------
; Command Info ;
----------------
Report Timing: Found 10 setup paths (0 violated).  Worst case slack is 1.583 

Tcl Command:
    report_timing -setup -show_routing -file ahaabaa -panel_name {Setup: pll_4|altpll_component|auto_generated|pll1|clk[0]} -to_clock [get_clocks { pll_4|altpll_component|auto_generated|pll1|clk[0] }] -npaths 10 -detail path_only

Options:
    -to_clock [get_clocks { pll_4|altpll_component|auto_generated|pll1|clk[0] }] 
    -setup 
    -npaths 10 
    -show_routing 
    -detail path_only 
    -panel_name {Setup: pll_4|altpll_component|auto_generated|pll1|clk[0]} 
    -file {ahaabaa} 

Delay Model:
    Slow 1200mV 85C Model

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Summary of Paths                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+---------------------------------------------------+--------------+------------+------------+
; Slack ; From Node                                                                                                                                                            ; To Node                                                                                                                            ; Launch Clock                                      ; Latch Clock                                       ; Relationship ; Clock Skew ; Data Delay ;
+-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+---------------------------------------------------+--------------+------------+------------+
; 1.583 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14   ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_8_result_add_0_0_o[51]  ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.080     ; 8.335      ;
; 1.602 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14   ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_8_result_add_0_0_o[52]  ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.080     ; 8.316      ;
; 1.603 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_10_im3_component|mult_jau:auto_generated|dffe275 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_37_result_add_0_0_o[52] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.080     ; 8.315      ;
; 1.606 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14   ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_8_result_add_0_0_o[52]  ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.080     ; 8.312      ;
; 1.611 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_10_im3_component|mult_jau:auto_generated|dffe275 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u1_m0_wo0_mtree_mult1_11_result_add_0_0_o[53] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.109     ; 8.278      ;
; 1.622 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_10_im3_component|mult_jau:auto_generated|dffe275 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_35_result_add_1_0_o[54] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.141     ; 8.235      ;
; 1.625 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_10_im3_component|mult_jau:auto_generated|dffe275 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_35_result_add_1_0_o[54] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.141     ; 8.232      ;
; 1.627 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u1_m0_wo0_mtree_mult1_27_im3_component|mult_jau:auto_generated|dffe22  ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u1_m0_wo0_mtree_mult1_27_result_add_0_0_o[55] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.092     ; 8.279      ;
; 1.629 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14   ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_8_result_add_0_0_o[52]  ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.080     ; 8.289      ;
; 1.629 ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u1_m0_wo0_mtree_mult1_17_im3_component|mult_jau:auto_generated|dffe14  ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u1_m0_wo0_mtree_mult1_17_result_add_0_0_o[50] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; pll_4|altpll_component|auto_generated|pll1|clk[0] ; 10.000       ; -0.079     ; 8.290      ;
+-------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+---------------------------------------------------+--------------+------------+------------+

Path #1: Setup slack is 1.583 
===============================================================================
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Path Summary                                                                                                                                                                            ;
+--------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Property           ; Value                                                                                                                                                              ;
+--------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; From Node          ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14 ;
; To Node            ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|u0_m0_wo0_mtree_mult1_8_result_add_0_0_o[51]                                  ;
; Launch Clock       ; pll_4|altpll_component|auto_generated|pll1|clk[0]                                                                                                                  ;
; Latch Clock        ; pll_4|altpll_component|auto_generated|pll1|clk[0]                                                                                                                  ;
; Data Arrival Time  ; 8.685                                                                                                                                                              ;
; Data Required Time ; 10.268                                                                                                                                                             ;
; Slack              ; 1.583                                                                                                                                                              ;
+--------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+-----------------------------------------------------------------------------------------+
; Statistics                                                                              ;
+---------------------------+--------+-------+-------------+------------+--------+--------+
; Property                  ; Value  ; Count ; Total Delay ; % of Total ; Min    ; Max    ;
+---------------------------+--------+-------+-------------+------------+--------+--------+
; Setup Relationship        ; 10.000 ;       ;             ;            ;        ;        ;
; Clock Skew                ; -0.080 ;       ;             ;            ;        ;        ;
; Data Delay                ; 8.335  ;       ;             ;            ;        ;        ;
; Number of Logic Levels    ;        ; 35    ;             ;            ;        ;        ;
; Physical Delays           ;        ;       ;             ;            ;        ;        ;
;  Arrival Path             ;        ;       ;             ;            ;        ;        ;
;   Clock                   ;        ;       ;             ;            ;        ;        ;
;    Clock Network (Lumped) ;        ; 1     ; 0.350       ; 100        ; 0.350  ; 0.350  ;
;   Data                    ;        ;       ;             ;            ;        ;        ;
;    IC                     ;        ; 36    ; 0.001       ; 0          ; 0.000  ; 0.001  ;
;    Cell                   ;        ; 37    ; 4.909       ; 59         ; 0.000  ; 0.536  ;
;    uTco                   ;        ; 1     ; 0.232       ; 3          ; 0.232  ; 0.232  ;
;    Routing Element        ;        ; 48    ; 3.193       ; 38         ; 0.000  ; 0.429  ;
;  Required Path            ;        ;       ;             ;            ;        ;        ;
;   Clock                   ;        ;       ;             ;            ;        ;        ;
;    Clock Network (Lumped) ;        ; 1     ; -0.135      ;            ; -0.135 ; -0.135 ;
+---------------------------+--------+-------+-------------+------------+--------+--------+
Note: Negative delays are omitted from totals when calculating percentages

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Data Arrival Path                                                                                                                                                                                                                               ;
+---------+---------+----+------+--------+-----------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Total   ; Incr    ; RF ; Type ; Fanout ; Location                          ; Element                                                                                                                                                            ;
+---------+---------+----+------+--------+-----------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; 0.000   ; 0.000   ;    ;      ;        ;                                   ; launch edge time                                                                                                                                                   ;
; 0.350   ; 0.350   ;    ;      ;        ;                                   ; clock path                                                                                                                                                         ;
;   0.350 ;   0.350 ; R  ;      ;        ;                                   ; clock network delay                                                                                                                                                ;
; 8.685   ; 8.335   ;    ;      ;        ;                                   ; data path                                                                                                                                                          ;
;   0.582 ;   0.232 ;    ; uTco ; 1      ; FF_X30_Y28_N3                     ; FIR:fir_inst|FIR_0002:fir_inst|FIR_0002_ast:FIR_0002_ast_inst|FIR_0002_rtl:hpfircore|lpm_mult:u0_m0_wo0_mtree_mult1_8_im3_component|mult_jau:auto_generated|dffe14 ;
;   0.582 ;   0.000 ; RR ; CELL ; 3      ; FF_X30_Y28_N3                     ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|dffe14|q                                                        ;
;   0.671 ;   0.089 ;    ; RE   ; 2      ; FF_X30_Y28_N3                     ; CUDA_FF                                                                                                                                                            ;
;   0.786 ;   0.115 ;    ; RE   ; 2      ; LE_BUFFER_X30_Y28_N0_I2           ; LE_BUFFER                                                                                                                                                          ;
;   1.215 ;   0.429 ;    ; RE   ; 1      ; C4_X30_Y24_N0_I12                 ; V_SEG4                                                                                                                                                             ;
;   1.608 ;   0.393 ;    ; RE   ; 1      ; LOCAL_INTERCONNECT_X31_Y25_N0_I16 ; LAB_LINE                                                                                                                                                           ;
;   1.608 ;   0.000 ; RR ; IC   ; 2      ; LCCOMB_X31_Y25_N2                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[0]~0|dataa                                        ;
;   2.074 ;   0.466 ; RR ; CELL ; 1      ; LCCOMB_X31_Y25_N2                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[0]~0|cout                                         ;
;   2.074 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N2                 ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.074 ;   0.000 ; RR ; IC   ; 2      ; LCCOMB_X31_Y25_N4                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[1]~2|cin                                          ;
;   2.140 ;   0.066 ; RF ; CELL ; 1      ; LCCOMB_X31_Y25_N4                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[1]~2|cout                                         ;
;   2.140 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N4                 ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.140 ;   0.000 ; FF ; IC   ; 2      ; LCCOMB_X31_Y25_N6                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[2]~4|cin                                          ;
;   2.206 ;   0.066 ; FR ; CELL ; 1      ; LCCOMB_X31_Y25_N6                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[2]~4|cout                                         ;
;   2.206 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N6                 ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.206 ;   0.000 ; RR ; IC   ; 2      ; LCCOMB_X31_Y25_N8                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[3]~6|cin                                          ;
;   2.272 ;   0.066 ; RF ; CELL ; 1      ; LCCOMB_X31_Y25_N8                 ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[3]~6|cout                                         ;
;   2.272 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N8                 ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.272 ;   0.000 ; FF ; IC   ; 2      ; LCCOMB_X31_Y25_N10                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[4]~8|cin                                          ;
;   2.338 ;   0.066 ; FR ; CELL ; 1      ; LCCOMB_X31_Y25_N10                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[4]~8|cout                                         ;
;   2.338 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N10                ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.338 ;   0.000 ; RR ; IC   ; 2      ; LCCOMB_X31_Y25_N12                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[5]~10|cin                                         ;
;   2.404 ;   0.066 ; RF ; CELL ; 1      ; LCCOMB_X31_Y25_N12                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[5]~10|cout                                        ;
;   2.404 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N12                ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.404 ;   0.000 ; FF ; IC   ; 2      ; LCCOMB_X31_Y25_N14                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[6]~12|cin                                         ;
;   2.470 ;   0.066 ; FR ; CELL ; 1      ; LCCOMB_X31_Y25_N14                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[6]~12|cout                                        ;
;   2.470 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N14                ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.470 ;   0.000 ; RR ; IC   ; 2      ; LCCOMB_X31_Y25_N16                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[7]~14|cin                                         ;
;   2.536 ;   0.066 ; RF ; CELL ; 1      ; LCCOMB_X31_Y25_N16                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[7]~14|cout                                        ;
;   2.536 ;   0.000 ;    ; RE   ; 2      ; LCCOMB_X31_Y25_N16                ; CUDA_LCELL_COMB                                                                                                                                                    ;
;   2.536 ;   0.000 ; FF ; IC   ; 2      ; LCCOMB_X31_Y25_N18                ; fir_inst|fir_inst|FIR_0002_ast_inst|hpfircore|u0_m0_wo0_mtree_mult1_8_im3_component|auto_generated|add288_result[8]~16|cin                                         ;
